编号,新文件名,照片标题,原文件名
原名保留,先蚕坛.jpg,先蚕坛,先蚕坛.jpg
原名保留,地坛.jpg,地坛,地坛.jpg
原名保留,天坛 回音壁.jpg,天坛 回音壁,天坛 回音壁.jpg
原名保留,天坛 圜丘坛.jpg,天坛 圜丘坛,天坛 圜丘坛.jpg
原名保留,天坛 祈年殿.jpg,天坛 祈年殿,天坛 祈年殿.jpg
原名保留,太岁殿大殿.jpg,太岁殿大殿,太岁殿大殿.jpg
原名保留,太庙  其二.jpg,太庙  其二,太庙  其二.jpg
原名保留,太庙.jpg,太庙,太庙.jpg
原名保留,拜殿.jpg,拜殿,拜殿.jpg
原名保留,景山 寿皇殿.jpg,景山 寿皇殿,景山 寿皇殿.jpg
原名保留,社稷坛 其二.jpg,社稷坛 其二,社稷坛 其二.jpg
原名保留,社稷坛.jpg,社稷坛,社稷坛.jpg
原名保留,神仓.jpg,神仓,神仓.jpg

说明：标题取自文件名（去掉扩展名）；「原名保留」行的文件名未被改动，回滚时会自动跳过。
"回滚命令：python rename_album.py --rollback ""1_对照表.csv"""
